iter	Passed	Remaining
0	293	58347
1	490	48513
2	682	44803
3	879	43086
4	1076	41988
5	1271	41120
6	1471	40581
7	1668	40053
8	1884	39988
9	2151	40874
10	2356	40483
11	2672	41872
12	2869	41277
13	3123	41492
14	3333	41107
15	3538	40694
16	3741	40271
17	3945	39897
18	4154	39578
19	4355	39195
20	4564	38903
21	4770	38598
22	4987	38380
23	5198	38118
24	5471	38300
25	5702	38160
26	5935	38029
27	6156	37819
28	6381	37625
29	6583	37308
30	6792	37032
31	7003	36768
32	7223	36554
33	7442	36337
34	7661	36118
35	7880	35901
36	8115	35754
37	8336	35540
38	8565	35360
39	8778	35113
40	8987	34853
41	9201	34615
42	9417	34383
43	9634	34157
44	9859	33961
45	10076	33733
46	10299	33527
47	10529	33343
48	10776	33208
49	10991	32974
50	11208	32746
51	11428	32527
52	11645	32298
53	11868	32088
54	12098	31895
55	12325	31694
56	12735	31949
57	12955	31719
58	13181	31501
59	13398	31263
60	13659	31125
61	13915	30974
62	14200	30880
63	14483	30778
64	14790	30719
65	15078	30613
66	15345	30461
67	15699	30475
68	16076	30521
69	16449	30548
70	16789	30504
71	17299	30755
72	17695	30784
73	18111	30838
74	18416	30694
75	18643	30417
76	18863	30132
77	19244	30100
78	19561	29960
79	19862	29794
80	20310	29838
81	20647	29712
82	20955	29539
83	21221	29306
84	21501	29089
85	21952	29099
86	22376	29063
87	22669	28852
88	22951	28624
89	23242	28407
90	23656	28335
91	24461	28716
92	25170	28959
93	25737	29023
94	26102	28850
95	26404	28605
96	26704	28356
97	26963	28063
98	27470	28025
99	27867	27867
100	28339	27778
101	28643	27520
102	28923	27238
103	29249	26999
104	29525	26713
105	29841	26463
106	30126	26184
107	30395	25892
108	30709	25638
109	31025	25384
110	31315	25108
111	31637	24858
112	31950	24599
113	32230	24314
114	32538	24050
115	32806	23756
116	33292	23617
117	33743	23449
118	34151	23245
119	34803	23202
120	35253	23016
121	35714	22833
122	36020	22549
123	36284	22238
124	36628	21977
125	37120	21801
126	37948	21812
127	38536	21677
128	38945	21434
129	39270	21145
130	39630	20873
131	39931	20570
132	40293	20298
133	40714	20053
134	41088	19783
135	41523	19540
136	42392	19494
137	43241	19427
138	44051	19332
139	44720	19165
140	45507	19042
141	46064	18815
142	46370	18483
143	46677	18152
144	46952	17809
145	47640	17620
146	48064	17329
147	48511	17044
148	49383	16903
149	50038	16679
150	50590	16416
151	51153	16153
152	51848	15927
153	52614	15716
154	52986	15383
155	53431	15070
156	53807	14736
157	54571	14506
158	54966	14173
159	55594	13898
160	56361	13652
161	56957	13360
162	57697	13097
163	58361	12810
164	58810	12475
165	59274	12140
166	59712	11799
167	60183	11463
168	60491	11096
169	60882	10743
170	61215	10381
171	61539	10018
172	61822	9648
173	62348	9316
174	63204	9029
175	63734	8691
176	64182	8340
177	64917	8023
178	65327	7664
179	65839	7315
180	66442	6974
181	67022	6628
182	67303	6252
183	67597	5878
184	67863	5502
185	68127	5127
186	68404	4755
187	68666	4382
188	68929	4011
189	69203	3642
190	69478	3273
191	69744	2906
192	70014	2539
193	70278	2173
194	70542	1808
195	70803	1444
196	71061	1082
197	71335	720
198	71598	359
199	71862	0
